"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): Total","Occupation (Skill level): Total","2023",151241.931,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",78780.79,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): Total","Occupation (Skill level): Skill level 2 ~ medium","2023",56976.55,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): Total","Occupation (Skill level): Skill level 1 ~ low","2023",15484.59,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 15-24","Occupation (Skill level): Total","2023",19896.7,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 15-24","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",5427.594,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 15-24","Occupation (Skill level): Skill level 2 ~ medium","2023",10844.808,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 15-24","Occupation (Skill level): Skill level 1 ~ low","2023",3624.299,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 25-34","Occupation (Skill level): Total","2023",34353.938,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 25-34","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",18370.156,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 25-34","Occupation (Skill level): Skill level 2 ~ medium","2023",12643.976,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 25-34","Occupation (Skill level): Skill level 1 ~ low","2023",3339.806,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 35-44","Occupation (Skill level): Total","2023",33317.365,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 35-44","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",19443.05,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 35-44","Occupation (Skill level): Skill level 2 ~ medium","2023",10987.193,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 35-44","Occupation (Skill level): Skill level 1 ~ low","2023",2887.121,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 45-54","Occupation (Skill level): Total","2023",29807.542,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 45-54","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",17083.719,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 45-54","Occupation (Skill level): Skill level 2 ~ medium","2023",10131.148,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 45-54","Occupation (Skill level): Skill level 1 ~ low","2023",2592.676,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 55-64","Occupation (Skill level): Total","2023",24573.019,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 55-64","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",13465.694,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 55-64","Occupation (Skill level): Skill level 2 ~ medium","2023",8893.547,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 55-64","Occupation (Skill level): Skill level 1 ~ low","2023",2213.778,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 65+","Occupation (Skill level): Total","2023",9293.367,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 65+","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",4990.578,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 65+","Occupation (Skill level): Skill level 2 ~ medium","2023",3475.878,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Total","Age (10-year bands): 65+","Occupation (Skill level): Skill level 1 ~ low","2023",826.91,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): Total","Occupation (Skill level): Total","2023",79625.294,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",37512.292,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): Total","Occupation (Skill level): Skill level 2 ~ medium","2023",31194.058,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): Total","Occupation (Skill level): Skill level 1 ~ low","2023",10918.945,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 15-24","Occupation (Skill level): Total","2023",9959.561,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 15-24","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",2255.142,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 15-24","Occupation (Skill level): Skill level 2 ~ medium","2023",5111.665,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 15-24","Occupation (Skill level): Skill level 1 ~ low","2023",2592.754,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 25-34","Occupation (Skill level): Total","2023",18228.407,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 25-34","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",8444.475,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 25-34","Occupation (Skill level): Skill level 2 ~ medium","2023",7293.051,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 25-34","Occupation (Skill level): Skill level 1 ~ low","2023",2490.881,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 35-44","Occupation (Skill level): Total","2023",17843.932,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 35-44","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",9344.699,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 35-44","Occupation (Skill level): Skill level 2 ~ medium","2023",6411.612,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 35-44","Occupation (Skill level): Skill level 1 ~ low","2023",2087.621,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 45-54","Occupation (Skill level): Total","2023",15695.217,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 45-54","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",8233.714,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 45-54","Occupation (Skill level): Skill level 2 ~ medium","2023",5750.985,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 45-54","Occupation (Skill level): Skill level 1 ~ low","2023",1710.518,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 55-64","Occupation (Skill level): Total","2023",12956.672,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 55-64","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",6649.961,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 55-64","Occupation (Skill level): Skill level 2 ~ medium","2023",4822.99,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 55-64","Occupation (Skill level): Skill level 1 ~ low","2023",1483.721,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 65+","Occupation (Skill level): Total","2023",4941.506,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 65+","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",2584.301,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 65+","Occupation (Skill level): Skill level 2 ~ medium","2023",1803.755,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Male","Age (10-year bands): 65+","Occupation (Skill level): Skill level 1 ~ low","2023",553.45,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): Total","Occupation (Skill level): Total","2023",71616.636,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",41268.499,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): Total","Occupation (Skill level): Skill level 2 ~ medium","2023",25782.493,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): Total","Occupation (Skill level): Skill level 1 ~ low","2023",4565.645,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 15-24","Occupation (Skill level): Total","2023",9937.139,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 15-24","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",3172.452,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 15-24","Occupation (Skill level): Skill level 2 ~ medium","2023",5733.143,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 15-24","Occupation (Skill level): Skill level 1 ~ low","2023",1031.544,,"Nonstandard age group: Excluding age 15",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 25-34","Occupation (Skill level): Total","2023",16125.532,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 25-34","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",9925.681,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 25-34","Occupation (Skill level): Skill level 2 ~ medium","2023",5350.925,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 25-34","Occupation (Skill level): Skill level 1 ~ low","2023",848.926,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 35-44","Occupation (Skill level): Total","2023",15473.433,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 35-44","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",10098.352,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 35-44","Occupation (Skill level): Skill level 2 ~ medium","2023",4575.581,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 35-44","Occupation (Skill level): Skill level 1 ~ low","2023",799.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 45-54","Occupation (Skill level): Total","2023",14112.325,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 45-54","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",8850.004,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 45-54","Occupation (Skill level): Skill level 2 ~ medium","2023",4380.163,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 45-54","Occupation (Skill level): Skill level 1 ~ low","2023",882.157,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 55-64","Occupation (Skill level): Total","2023",11616.347,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 55-64","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",6815.733,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 55-64","Occupation (Skill level): Skill level 2 ~ medium","2023",4070.557,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 55-64","Occupation (Skill level): Skill level 1 ~ low","2023",730.057,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 65+","Occupation (Skill level): Total","2023",4351.861,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 65+","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",2406.277,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 65+","Occupation (Skill level): Skill level 2 ~ medium","2023",1672.123,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Employees by sex, age and occupation (thousands)","LFS - Current Population Survey","Sex: Female","Age (10-year bands): 65+","Occupation (Skill level): Skill level 1 ~ low","2023",273.46,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
